施設名,緯度,経度,所在地,電話番号,利用可能日,利用可能時間,授乳スペース,おむつ替えスペース,施設情報URL,休憩スペース
御堂筋線　なんば駅,34.6665882622982,135.500318537564,大阪市中央区難波1丁目9番7号,-,毎日　　   ,5:00～24:00,〇,〇,-
谷町線　天満橋駅,34.6887293,135.5175805,大阪市中央区谷町1丁目2番5号,-,毎日　　   ,5:00～24:00,×,〇,-
谷町線　谷町四丁目駅,34.682107,135.5172526,大阪市中央区谷町4丁目4番21号,-,毎日　　   ,5:00～24:00,×,〇,-
谷町線　谷町六丁目駅,34.674166,135.5171858,大阪市中央区谷町6丁目9番1号,-,毎日　　   ,5:00～24:00,×,〇,-
中央線　本町駅,34.6819558,135.4996486,大阪市中央区船場中央4丁目1番6号,-,毎日　　   ,5:00～24:00,〇,〇,-
中央線　堺筋本町駅,34.6820805,135.5066347,大阪市中央区船場中央1丁目4番16号,-,毎日　　   ,5:00～24:00,×,〇,-
中央線　谷町四丁目駅,34.6814051,135.5186862,大阪市中央区谷町4丁目4番21号,-,毎日　　   ,5:00～24:00,×,〇,-
中央線　森ノ宮駅,34.68174,135.533341,大阪市中央区森ノ宮中央1丁目1番43号,-,毎日　　   ,5:00～24:00,×,〇,-
長堀鶴見緑地線　心斎橋駅,34.6735807,135.5006301,大阪市中央区心斎橋筋1丁目8番16号,-,毎日　　   ,5:00～24:00,×,×,-
長堀鶴見緑地線　長堀橋駅,34.6742667,135.5063099,大阪市中央区島之内1丁目18番9号,-,毎日　　   ,5:00～24:00,×,×,-
長堀鶴見緑地線　松屋町駅,34.675189,135.5120199,大阪市中央区松屋町3番27号,-,毎日　　   ,5:00～24:00,×,〇,-
長堀鶴見緑地線　谷町六丁目駅,34.6762101,135.5173424,大阪市中央区安堂寺町1丁目6番10号,-,毎日　　   ,5:00～24:00,×,〇,-
長堀鶴見緑地線　森ノ宮駅,34.6817307,135.5333561,大阪市中央区森ノ宮中央1丁目1番43号,-,毎日　　   ,5:00～24:00,×,×,-
長堀鶴見緑地線　大阪ビジネスパーク駅,34.6918676,135.5296563,大阪市中央区城見1丁目3番13号,-,毎日　　   ,5:00～24:00,×,〇,-
中央区子ども・子育てプラザ,34.6713145,135.5079581,大阪市中央区島之内2-12-6,-,火曜日～日曜日　　,9:00～17:30,〇,〇,-
大阪マザーズハローワーク,34.66761,135.4997842,大阪市中央区難波2-2-3御堂筋グランドビル4F,-,月曜日～金曜日　　,10:00～18:00,〇,〇,-
千日前線　なんば駅,34.6673031,135.5007141,大阪市中央区難波1丁目9番7号,-,毎日　　   ,5:00～24:00,×,×,-
千日前線　日本橋駅,34.6669677,135.5061197,大阪市中央区日本橋1丁目5番12号,-,毎日　　   ,5:00～24:00,×,×,-
堺筋線　北浜駅,34.6907263,135.5066139,大阪市中央区北浜1丁目8番16号,-,毎日　　   ,5:00～24:00,×,〇,-
堺筋線　堺筋本町駅,34.6820805,135.5066347,大阪市中央区船場中央1丁目4番16号,-,毎日　　   ,5:00～24:00,×,〇,-
堺筋線　長堀橋駅,34.674852,135.5063491,大阪市中央区島之内1丁目18番9号,-,毎日　　  ,5:00～24:00,×,〇,-
堺筋線　日本橋駅,34.666976,135.506063,大阪市中央区日本橋1丁目5番12号,-,毎日　　   ,5:00～24:00,×,〇,-
ハローワーク大阪東　マザーズコーナー,34.6811081,135.5141017,大阪市中央区農人橋2丁目1-36　2F,-,月曜日～金曜日　　,8:30～17:15,〇,〇,-
ジョー・テラス・オオサカ,34.6886414688545,135.533160797066,大阪市中央区大阪城3-1,-,毎日　　　,7:00～23:00,〇,〇,-
ミライザ大阪城,34.6858464,135.5266176,大阪市中央区大阪城1-1,-,毎日　　　,9:00～22:00,〇,〇,-
大阪市立島之内図書館,34.671726,135.507966,大阪市中央区島之内2丁目12番31号,-,火曜日～日曜日　　  ,（火～金曜日）10:00～19:00、（土～日曜日）10:00～17:00,〇,〇,-
大阪市西区役所,34.6764359,135.4860234,大阪市西区新町4-5-14,-,月曜日～金曜日　　　　,（月～木曜日）9:00～17:30、（金曜日）9:00～19:00,〇,〇,-
大阪市立中央図書館,34.6738877,135.4862357,大阪市西区北堀江4-3-2,-,月曜日～日曜日・祝日　　,（月〜金曜日）9:15～20:30、（土・日曜日・祝日）9:15～17:00,〇,〇,-
大阪市立梅本保育所,34.6785965,135.4817423,大阪市西区本田1-4-50,-,月曜日～金曜日　　,10:00～16:00,〇,×,-
四つ橋線　肥後橋駅,34.6921121,135.4960331,大阪市西区江戸堀1丁目13番18号,-,毎日　　   ,5:00～24:00,×,〇,-
四つ橋線　本町駅,34.6820067,135.4988295,大阪市西区西本町1丁目4番10号,-,毎日　　   ,5:00～24:00,×,〇,-
四つ橋線　四ツ橋駅,34.674135,135.496727,大阪市西区北堀江1丁目1番29号,-,毎日　　   ,5:00～24:00,×,〇,-
中央線　九条駅,34.6752069,135.4733978,大阪市西区九条2丁目3番2号,-,毎日　　   ,5:00～24:00,×,〇,-
中央線　阿波座駅,34.6815517,135.4870181,大阪市西区西本町3丁目1番23号,-,毎日　　   ,5:00～24:00,×,〇,-
千日前線　阿波座駅,34.6812811,135.4865433,大阪市西区西本町3丁目1番23号,-,毎日　　   ,5:00～24:00,×,×,-
千日前線　西長堀駅,34.6752108,135.4871747,大阪市西区北堀江3丁目12番20号,-,毎日　　   ,5:00～24:00,×,〇,-
長堀鶴見緑地線　ドーム前千代崎駅,34.6703863,135.4789713,大阪市西区千代崎3丁目北2番8号,-,毎日　　   ,5:00～24:00,×,〇,-
長堀鶴見緑地線　西長堀駅,34.6757739,135.4870221,大阪市西区新町4丁目4番7号,-,毎日　　   ,5:00～24:00,×,〇,-
長堀鶴見緑地線　西大橋駅,34.6755462605286,135.493703106683,大阪市西区新町1丁目28番11号,-,毎日　　   ,5:00～24:00,×,〇,-
西区子ども・子育てプラザ,34.6777199,135.4740193,大阪市西区本田3-7-2,-,火曜日～日曜日　　,9:00～17:30,〇,〇,-
つどいの広場　シュッポッポ,34.6708702,135.4825271,大阪市西区南堀江4-24-5,-,日曜日、月曜日、水曜日～金曜日　,10:00～15:00,〇,〇,-
